mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nn_model__batch_size,param_nn_model__dropout,param_nn_model__epochs,param_nn_model__input_dim,param_nn_model__learning_rate,param_nn_model__nodes_per_layer,param_nn_model__optimizer,params,split0_test_percentile99,split1_test_percentile99,mean_test_percentile99,std_test_percentile99,rank_test_percentile99,split0_test_MAPE,split1_test_MAPE,mean_test_MAPE,std_test_MAPE,rank_test_MAPE
112.38828015327454,0.2287740707397461,5.070987343788147,0.11338770389556885,64,0.1,100,22,0.001,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-98.78368594665822,-102.06267616271971,-100.42318105468897,1.6394951080307436,56,-39.88614154881938,-34.80479049682617,-37.34546602282278,2.5406755259966047,23
131.59545183181763,0.35829925537109375,4.857151031494141,0.041483163833618164,64,0.1,100,22,0.001,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-98.19742489853027,-121.11130485534656,-109.65436487693842,11.456939978408144,76,-36.62994440267417,-37.93608474731445,-37.28301457499431,0.6530701723201418,22
110.04339003562927,1.55525541305542,5.022764325141907,0.050258755683898926,64,0.1,100,22,0.005,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-191.87100931586514,-99.69737113952637,-145.78419022769575,46.086819088169385,105,-56.30983221785052,-44.402076721191406,-50.35595446952097,5.953877748329557,90
123.681800365448,0.3876051902770996,4.946277618408203,0.04792904853820801,64,0.1,100,22,0.005,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.99794671957999,-99.99793647766114,-99.99794159862057,5.120959421844873e-06,50,-86.55371816435556,-88.1852035522461,-87.36946085830083,0.8157426939452677,124
112.80382013320923,3.03200626373291,4.862220406532288,0.004645705223083496,64,0.1,100,22,0.01,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-99.75712936981188,-99.97705841064453,-99.8670938902282,0.10996452041632665,48,-50.4835316005397,-51.354793548583984,-50.91916257456184,0.4356309740221427,92
131.96828520298004,2.6320892572402954,5.021973609924316,0.071441650390625,64,0.1,100,22,0.01,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 100, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.01, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.99943402579797,-99.99792121887207,-99.99867762233501,0.0007564034629510274,52,-96.65207986671577,-86.676513671875,-91.66429676929539,4.987783097420383,133
220.10885405540466,0.6164407730102539,5.3263853788375854,0.4044593572616577,64,0.1,200,22,0.001,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-98.12721577670825,-97.17026100158691,-97.64873838914758,0.47847738756067315,4,-36.16774584974065,-34.90092086791992,-35.53433335883028,0.6334124909103629,11
248.42915189266205,2.325419068336487,5.066202282905579,0.011773943901062012,64,0.1,200,22,0.001,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.001, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-128.4726525097012,-154.19356719970696,-141.33310985470408,12.860457345002885,100,-40.28062768964693,-38.256309509277344,-39.26846859946214,1.0121590901847917,39
218.37566602230072,0.6798361539840698,5.442910552024841,0.5717509984970093,64,0.1,200,22,0.005,"(10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 5), 'nn_model__optimizer': 'adam'}",-98.80622670004641,-99.08864074707031,-98.94743372355836,0.1412070235119529,25,-35.985369843982674,-41.996273040771484,-38.99082144237708,3.005451598394405,38
246.86604368686676,2.7975414991378784,5.197751045227051,0.029633283615112305,64,0.1,200,22,0.005,"(10, 10, 5)",adam,"{'nn_model__batch_size': 64, 'nn_model__dropout': 0.1, 'nn_model__epochs': 200, 'nn_model__input_dim': 22, 'nn_model__learning_rate': 0.005, 'nn_model__nodes_per_layer': (10, 10, 5), 'nn_model__optimizer': 'adam'}",-99.99750457538747,-115.67644943237286,-107.83697700388016,7.839472428492698,72,-86.81315027981874,-37.18510818481445,-61.9991292323166,24.814021047502145,106
